cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test,n_test_pat
hiba,0,0.05,B,170,False,0.9893238434163701,0.9558823529411765,,1.0,1.0,5.562277580071174,281,68.0
hiba,0,0.05,M1,25,False,1.0,1.0,0.0,1.0,1.0,6.388888888888889,18,9.0
hiba,0,0.05,M2,219,False,0.9508196721311475,0.9427083333333334,0.0,1.0,1.0,6.122950819672131,122,96.0
hiba,0,0.05,M3,25,False,1.0,1.0,0.0,1.0,1.0,6.357142857142857,14,9.0
hiba,0,0.05,marginal-M1,396,False,1.0,,0.0,1.0,,6.222222222222222,18,
hiba,0,0.05,marginal-M2,396,False,0.9672131147540983,,0.0,1.0,,5.811475409836065,122,
hiba,0,0.05,marginal-M3,396,False,1.0,,0.0,1.0,,5.714285714285714,14,
hiba,0,0.1,B,170,False,0.9822064056939501,0.9264705882352942,,0.9608540925266904,0.9646951088127558,3.797153024911032,281,68.0
hiba,0,0.1,M1,25,False,1.0,1.0,0.0,1.0,1.0,4.444444444444445,18,9.0
hiba,0,0.1,M2,219,False,0.8934426229508197,0.8854166666666666,0.01639344262295082,0.9836065573770492,0.9895833333333334,4.516393442622951,122,96.0
hiba,0,0.1,M3,25,False,1.0,1.0,0.0,1.0,1.0,4.428571428571429,14,9.0
hiba,0,0.1,marginal-M1,396,False,1.0,,0.0,1.0,,4.944444444444445,18,
hiba,0,0.1,marginal-M2,396,False,0.9262295081967213,,0.00819672131147541,0.9918032786885246,,4.737704918032787,122,
hiba,0,0.1,marginal-M3,396,False,1.0,,0.0,1.0,,4.785714285714286,14,
hiba,0,0.15,B,170,False,0.9608540925266904,0.8598039215686274,,0.8469750889679716,0.884113233687537,2.9359430604982206,281,68.0
hiba,0,0.15,M1,25,False,0.9444444444444444,0.9777777777777779,0.0,1.0,1.0,4.222222222222222,18,9.0
hiba,0,0.15,M2,219,False,0.8688524590163934,0.859375,0.01639344262295082,0.9836065573770492,0.9895833333333334,3.860655737704918,122,96.0
hiba,0,0.15,M3,25,False,0.9285714285714286,0.8888888888888888,0.0,1.0,1.0,3.5,14,9.0
hiba,0,0.15,marginal-M1,396,False,1.0,,0.0,1.0,,3.4444444444444446,18,
hiba,0,0.15,marginal-M2,396,False,0.8688524590163934,,0.02459016393442623,0.9754098360655737,,3.5245901639344264,122,
hiba,0,0.15,marginal-M3,396,False,0.9285714285714286,,0.0,1.0,,3.642857142857143,14,
pad,0,0.05,B,24,False,1.0,1.0,,1.0,1.0,4.052631578947368,19,15.0
pad,0,0.05,M1,29,False,1.0,1.0,0.0,1.0,1.0,4.5625,16,11.0
pad,0,0.05,M2,172,False,0.9632352941176471,0.965635738831615,0.0,1.0,1.0,4.088235294117647,136,97.0
pad,0,0.05,M3,70,False,0.9880952380952381,0.98,0.0,1.0,1.0,4.107142857142857,84,50.0
pad,0,0.05,M4,9,True,1.0,1.0,0.0,1.0,1.0,5.181818181818182,11,8.0
pad,0,0.05,M5,4,True,1.0,1.0,0.0,1.0,1.0,5.0,1,1.0
pad,0,0.05,marginal-M1,299,False,1.0,,0.0,1.0,,4.375,16,
pad,0,0.05,marginal-M2,299,False,0.9705882352941176,,0.0,1.0,,4.132352941176471,136,
pad,0,0.05,marginal-M3,299,False,0.9880952380952381,,0.0,1.0,,4.261904761904762,84,
pad,0,0.05,marginal-M4,299,False,1.0,,0.0,1.0,,4.454545454545454,11,
pad,0,0.05,marginal-M5,299,False,1.0,,0.0,1.0,,4.0,1,
pad,0,0.1,B,24,False,0.9473684210526315,0.9333333333333333,,0.8947368421052632,0.8666666666666667,3.3157894736842106,19,15.0
pad,0,0.1,M1,29,False,0.9375,0.9090909090909091,0.0,1.0,1.0,3.0625,16,11.0
pad,0,0.1,M2,172,False,0.9264705882352942,0.9192439862542955,0.0,1.0,1.0,3.2279411764705883,136,97.0
pad,0,0.1,M3,70,False,0.9761904761904762,0.96,0.0,1.0,1.0,3.2142857142857144,84,50.0
pad,0,0.1,M4,9,False,1.0,1.0,0.0,1.0,1.0,3.8181818181818183,11,8.0
pad,0,0.1,M5,4,True,1.0,1.0,0.0,1.0,1.0,4.0,1,1.0
pad,0,0.1,marginal-M1,299,False,0.9375,,0.0,1.0,,3.75,16,
pad,0,0.1,marginal-M2,299,False,0.9264705882352942,,0.0,1.0,,3.6323529411764706,136,
pad,0,0.1,marginal-M3,299,False,0.9880952380952381,,0.0,1.0,,3.761904761904762,84,
pad,0,0.1,marginal-M4,299,False,1.0,,0.0,1.0,,3.8181818181818183,11,
pad,0,0.1,marginal-M5,299,False,1.0,,0.0,1.0,,4.0,1,
pad,0,0.15,B,24,False,0.8947368421052632,0.8666666666666667,,0.7894736842105263,0.8222222222222223,2.8947368421052633,19,15.0
pad,0,0.15,M1,29,False,0.875,0.8636363636363636,0.0,1.0,1.0,2.5,16,11.0
pad,0,0.15,M2,172,False,0.8970588235294118,0.8934707903780068,0.0,1.0,1.0,2.8823529411764706,136,97.0
pad,0,0.15,M3,70,False,0.8928571428571429,0.8825,0.0,1.0,1.0,2.869047619047619,84,50.0
pad,0,0.15,M4,9,False,1.0,1.0,0.0,1.0,1.0,3.8181818181818183,11,8.0
pad,0,0.15,M5,4,True,1.0,1.0,0.0,1.0,1.0,4.0,1,1.0
pad,0,0.15,marginal-M1,299,False,0.875,,0.0,1.0,,2.625,16,
pad,0,0.15,marginal-M2,299,False,0.8676470588235294,,0.0,1.0,,2.9926470588235294,136,
pad,0,0.15,marginal-M3,299,False,0.9166666666666666,,0.0,1.0,,3.107142857142857,84,
pad,0,0.15,marginal-M4,299,False,1.0,,0.0,1.0,,2.8181818181818183,11,
pad,0,0.15,marginal-M5,299,False,1.0,,0.0,1.0,,3.0,1,
hiba,1,0.05,B,161,False,0.9859154929577465,0.961038961038961,,1.0,1.0,5.835680751173709,213,77.0
hiba,1,0.05,M1,20,False,1.0,1.0,0.0,1.0,1.0,6.0,19,14.0
hiba,1,0.05,M2,230,False,0.9811320754716981,0.9823529411764705,0.0,1.0,1.0,6.367924528301887,106,85.0
hiba,1,0.05,M3,24,False,1.0,1.0,0.0,1.0,1.0,6.363636363636363,11,10.0
hiba,1,0.05,marginal-M1,396,False,1.0,,0.0,1.0,,6.2105263157894735,19,
hiba,1,0.05,marginal-M2,396,False,0.9905660377358491,,0.0,1.0,,6.0,106,
hiba,1,0.05,marginal-M3,396,False,1.0,,0.0,1.0,,6.181818181818182,11,
hiba,1,0.1,B,161,False,0.9577464788732394,0.8961038961038961,,0.9577464788732394,0.973892773892774,4.065727699530516,213,77.0
hiba,1,0.1,M1,20,False,1.0,1.0,0.0,1.0,1.0,4.368421052631579,19,14.0
hiba,1,0.1,M2,230,False,0.9339622641509434,0.9441176470588235,0.0,1.0,1.0,4.9245283018867925,106,85.0
hiba,1,0.1,M3,24,False,0.9090909090909091,0.9,0.0,1.0,1.0,4.636363636363637,11,10.0
hiba,1,0.1,marginal-M1,396,False,1.0,,0.0,1.0,,4.526315789473684,19,
hiba,1,0.1,marginal-M2,396,False,0.9528301886792453,,0.0,1.0,,4.830188679245283,106,
hiba,1,0.1,marginal-M3,396,False,1.0,,0.0,1.0,,5.090909090909091,11,
hiba,1,0.15,B,161,False,0.9389671361502347,0.8636363636363636,,0.9014084507042254,0.9194472194472193,3.211267605633803,213,77.0
hiba,1,0.15,M1,20,False,0.9473684210526315,0.9642857142857143,0.0,1.0,1.0,3.6842105263157894,19,14.0
hiba,1,0.15,M2,230,False,0.8584905660377359,0.8672549019607844,0.018867924528301886,0.9811320754716981,0.9764705882352941,3.8773584905660377,106,85.0
hiba,1,0.15,M3,24,False,0.8181818181818182,0.8,0.0,1.0,1.0,3.5454545454545454,11,10.0
hiba,1,0.15,marginal-M1,396,False,1.0,,0.0,1.0,,3.5789473684210527,19,
hiba,1,0.15,marginal-M2,396,False,0.9056603773584906,,0.009433962264150943,0.9905660377358491,,3.849056603773585,106,
