cohort,draw,variant,alpha,group,tau,T,miss,n_mal,release,n_ben
hiba,0,softmax,0.05,1,0.9830216461227286,1.0,0.0,13.0,,
hiba,0,softmax,0.05,2,0.9830216461227286,1.0,0.046875,128.0,,
hiba,0,softmax,0.05,3,0.9830216461227286,1.0,0.0,13.0,,
hiba,0,softmax,0.05,0,0.9830216461227286,1.0,,,0.27672955974842767,159.0
hiba,0,softmax,0.1,1,0.9429742632640773,1.0,0.0,13.0,,
hiba,0,softmax,0.1,2,0.9429742632640773,1.0,0.0859375,128.0,,
hiba,0,softmax,0.1,3,0.9429742632640773,1.0,0.0,13.0,,
hiba,0,softmax,0.1,0,0.9429742632640773,1.0,,,0.4088050314465409,159.0
hiba,0,softmax,0.15,1,0.7803394752463498,1.0,0.07692307692307693,13.0,,
hiba,0,softmax,0.15,2,0.7803394752463498,1.0,0.1171875,128.0,,
hiba,0,softmax,0.15,3,0.7803394752463498,1.0,0.0,13.0,,
hiba,0,softmax,0.15,0,0.7803394752463498,1.0,,,0.6666666666666666,159.0
hiba,0,temp,0.05,1,0.4867724335045594,4.659522476938271,0.0,13.0,,
hiba,0,temp,0.05,2,0.4867724335045594,4.659522476938271,0.0625,128.0,,
hiba,0,temp,0.05,3,0.4867724335045594,4.659522476938271,0.0,13.0,,
hiba,0,temp,0.05,0,0.4867724335045594,4.659522476938271,,,0.3584905660377358,159.0
hiba,0,temp,0.1,1,0.3904653876827729,4.659522476938271,0.0,13.0,,
hiba,0,temp,0.1,2,0.3904653876827729,4.659522476938271,0.0859375,128.0,,
hiba,0,temp,0.1,3,0.3904653876827729,4.659522476938271,0.07692307692307693,13.0,,
hiba,0,temp,0.1,0,0.3904653876827729,4.659522476938271,,,0.6226415094339622,159.0
hiba,0,temp,0.15,1,0.3442577076735651,4.659522476938271,0.07692307692307693,13.0,,
hiba,0,temp,0.15,2,0.3442577076735651,4.659522476938271,0.140625,128.0,,
hiba,0,temp,0.15,3,0.3442577076735651,4.659522476938271,0.07692307692307693,13.0,,
hiba,0,temp,0.15,0,0.3442577076735651,4.659522476938271,,,0.7610062893081762,159.0
pad,0,softmax,0.05,1,0.5753962061874184,1.0,0.0,18.0,,
pad,0,softmax,0.05,2,0.5753962061874184,1.0,0.05202312138728324,173.0,,
pad,0,softmax,0.05,3,0.5753962061874184,1.0,0.05555555555555555,72.0,,
pad,0,softmax,0.05,4,0.5753962061874184,1.0,0.14285714285714285,7.0,,
pad,0,softmax,0.05,5,0.5753962061874184,1.0,0.0,3.0,,
pad,0,softmax,0.05,0,0.5753962061874184,1.0,,,0.5882352941176471,17.0
pad,0,softmax,0.1,1,0.0,1.0,0.0,18.0,,
pad,0,softmax,0.1,2,0.0,1.0,0.057803468208092484,173.0,,
pad,0,softmax,0.1,3,0.0,1.0,0.08333333333333333,72.0,,
pad,0,softmax,0.1,4,0.0,1.0,0.14285714285714285,7.0,,
pad,0,softmax,0.1,5,0.0,1.0,0.0,3.0,,
pad,0,softmax,0.1,0,0.0,1.0,,,0.6470588235294118,17.0
pad,0,softmax,0.15,1,0.0,1.0,0.0,18.0,,
pad,0,softmax,0.15,2,0.0,1.0,0.057803468208092484,173.0,,
pad,0,softmax,0.15,3,0.0,1.0,0.08333333333333333,72.0,,
pad,0,softmax,0.15,4,0.0,1.0,0.14285714285714285,7.0,,
pad,0,softmax,0.15,5,0.0,1.0,0.0,3.0,,
pad,0,softmax,0.15,0,0.0,1.0,,,0.6470588235294118,17.0
pad,0,temp,0.05,1,0.3906021080041878,3.627361952000161,0.0,18.0,,
pad,0,temp,0.05,2,0.3906021080041878,3.627361952000161,0.04046242774566474,173.0,,
pad,0,temp,0.05,3,0.3906021080041878,3.627361952000161,0.041666666666666664,72.0,,
pad,0,temp,0.05,4,0.3906021080041878,3.627361952000161,0.14285714285714285,7.0,,
pad,0,temp,0.05,5,0.3906021080041878,3.627361952000161,0.0,3.0,,
pad,0,temp,0.05,0,0.3906021080041878,3.627361952000161,,,0.5882352941176471,17.0
pad,0,temp,0.1,1,0.0,3.627361952000161,0.0,18.0,,
pad,0,temp,0.1,2,0.0,3.627361952000161,0.057803468208092484,173.0,,
pad,0,temp,0.1,3,0.0,3.627361952000161,0.08333333333333333,72.0,,
pad,0,temp,0.1,4,0.0,3.627361952000161,0.14285714285714285,7.0,,
pad,0,temp,0.1,5,0.0,3.627361952000161,0.0,3.0,,
pad,0,temp,0.1,0,0.0,3.627361952000161,,,0.6470588235294118,17.0
pad,0,temp,0.15,1,0.0,3.627361952000161,0.0,18.0,,
pad,0,temp,0.15,2,0.0,3.627361952000161,0.057803468208092484,173.0,,
pad,0,temp,0.15,3,0.0,3.627361952000161,0.08333333333333333,72.0,,
pad,0,temp,0.15,4,0.0,3.627361952000161,0.14285714285714285,7.0,,
pad,0,temp,0.15,5,0.0,3.627361952000161,0.0,3.0,,
pad,0,temp,0.15,0,0.0,3.627361952000161,,,0.6470588235294118,17.0
hiba,1,softmax,0.05,1,0.9800332405039188,1.0,0.11764705882352941,17.0,,
hiba,1,softmax,0.05,2,0.9800332405039188,1.0,0.04878048780487805,123.0,,
hiba,1,softmax,0.05,3,0.9800332405039188,1.0,0.07692307692307693,13.0,,
hiba,1,softmax,0.05,0,0.9800332405039188,1.0,,,0.3359375,256.0
hiba,1,softmax,0.1,1,0.9445072574669466,1.0,0.11764705882352941,17.0,,
hiba,1,softmax,0.1,2,0.9445072574669466,1.0,0.056910569105691054,123.0,,
hiba,1,softmax,0.1,3,0.9445072574669466,1.0,0.07692307692307693,13.0,,
hiba,1,softmax,0.1,0,0.9445072574669466,1.0,,,0.5078125,256.0
hiba,1,softmax,0.15,1,0.7158810020486885,1.0,0.17647058823529413,17.0,,
hiba,1,softmax,0.15,2,0.7158810020486885,1.0,0.13008130081300814,123.0,,
hiba,1,softmax,0.15,3,0.7158810020486885,1.0,0.23076923076923078,13.0,,
hiba,1,softmax,0.15,0,0.7158810020486885,1.0,,,0.80078125,256.0
hiba,1,temp,0.05,1,0.4718636845678642,5.069041146320323,0.11764705882352941,17.0,,
hiba,1,temp,0.05,2,0.4718636845678642,5.069041146320323,0.04878048780487805,123.0,,
hiba,1,temp,0.05,3,0.4718636845678642,5.069041146320323,0.0,13.0,,
hiba,1,temp,0.05,0,0.4718636845678642,5.069041146320323,,,0.4921875,256.0
hiba,1,temp,0.1,1,0.38163500888189644,5.069041146320323,0.17647058823529413,17.0,,
